pmid,outcome,labels,full_text_attributes
26602701,"['Changes in social cognitive theory (SCT) variables', 'Physical activity (PA)', 'Sedentary time (ST)']","['Life impact', 'Life impact', 'Life impact']","{'Physical activity (PA)': ['57.5% (M=2.3, SD=1.162)', 'main effect for time for moderate-intensity (F(1,76)=7.659, p=.007), vigorous-intensity (F(1,76)=6.465, p=.013), and total (F(1,76)=9.323, p=.003) physical activity', 'walking', 'walking increased as barrier self-efficacy increased; greater changes in walking for women in intervention group compared to control group'], 'Changes in social cognitive theory (SCT) variables': ['significant time by site interaction for social support from family (F(1,78)=6.729, p=.011); women in Texas reported decreased social support from family from baseline to follow-up, while women in Puerto Rico reported increased social support from family over time', 'exercise self-efficacy', 'moderated by treatment group'], 'Sedentary time (ST)': ['decreased with increasing barrier self-efficacy in intervention group, increased in control group; opposite effect observed with social support from family']}"
26599904,"['Primary endpoint: progression-free survival', 'overall survival', 'objective response rate', 'time to progression', 'quality of life', 'safety']","['Clinical', 'Mortality', 'Clinical', 'Adverse Event', 'Life impact', 'Adverse Event']","{'safety': ['127 treated and evaluable for safety analysis, 1 case excluded due to no medication after enrollment', 'rash (26.6%, 33/124)', 'diarrhea (12.1%, 15/124)', 'elevation of transaminase (14.5%, 18/124)', 'grade I/II', 'one grade 3 elevation of transaminase', 'one fatal ILD', '14 patients (11.3%) experienced serious adverse events, including 4 deaths and 3 hospitalizations due to disease progression, 4 lung infections, 1 oral ulcer with fungal infection, 1 sudden death, and 1 death related to interstitial lung disease; most were considered not treatment-related by investigator'], 'Primary endpoint: progression-free survival': ['5.0 months (95%CI 2.9–6.6 m)', 'significantly better PFS in females, adenocarcinoma, non-smokers, and patients with CR/PR compared to males, non-adenocarcinoma, smokers and patients with SD', 'adenocarcinoma', 'stage IIIb', 'non-smokers'], 'objective response rate': [], 'overall survival': ['estimated median OS exceeding 17.6 months (95%CI 14.2–NA)', '59 cases reached the OS endpoint in FAS', 'similar results as PFS analysis']}"
26597808,"['feasible', 'acceptable', 'potentially effective']","['None', 'None', 'None']","{'feasible': ['one of the first conceptual frameworks', 'The 4Cs intervention programme was developed based mainly on the P-LLCF for Cancer Couple Dyads', 'Psycho-education (PE), Skills Training (ST), and Cognitive Behavioural Therapy (CBT)', 'Cognitive Behavioural Therapy (CBT) is commonly used to treat a wide range of disorders, including depression and anxiety.', 'The self-efficacy and involvement continuity (physically or psychologically prepared to take care of the patient) of the caregivers will be evaluated using the 12-item Cancer Behaviour Inventory (CBI-B).'], 'potentially effective': ['can lead to positive outcomes in the caregiving experience', 'The 15-item Cancer-Related Communication Problems within Couples Scale (CRCP) will be used to measure communication between the couples, reflecting the dyadic communication and the couples’ relationship. It has been stated that ‘Open communication is the premise and healthiest form of cancer-related communication, and serves as an indicator of better psychological state and marital relationship’ (p. 783).'], 'acceptable': ['The 37-item Dyadic Coping Inventory (DCI) will be used to assess dyadic coping as perceived by (1) each partner about their own coping, (2) each partner’s perception of the other’s coping, and (3) each partner’s view of how they cope as a couple.', 'MOS SF-12', 'HADS', 'BFS', 'RDAS', 'completed separately by spousal caregivers and cancer patients at baseline, immediately after intervention, and three months after intervention']}"
26596801,"['Toxicity', 'Complications', 'Locoregional recurrence rate', 'Distant metastasis', 'Disease-free survival', '1-, 3-, and 5-year survival rates', 'Extensive peritoneal metastasis and other organ metastasis rates']","['Adverse Event', 'Adverse Event', 'Clinical', 'Mortality', 'Clinical', 'Mortality', 'Adverse Event']","{'Distant metastasis': ['liver metastasis', 'isolate peritoneal or great omentum metastasis', 'other organ metastases', '28 patients developed to liver metastasis in group 1 and 44 patients in group 2 (P = 0.04)'], 'Complications': ['No significant difference was found in postoperative fever, pulmonary infection, incision infection, gas passage time, pelvic effusion, and peritoneal irritation signs between the two groups (P > 0.05). Four cases of anastomotic leakage were found in each of the two groups, and no patient required revision surgery.'], 'Toxicity': ['One patient complained of abdominal pain 1 week after operation excluding obstructions in group 1, which were ultimately considered an adverse effect of the drug.', 'No significant differences in hematologic toxicity parameters like WBC (P > 0.05), creatinine, ALT, and gastrointestinal toxic reactions between the two groups (P > 0.05). No congestive heart failure was found in either group.'], 'Locoregional recurrence rate': ['12 cases in group 1, 20 cases in group 2 (P = 0.04)'], 'Disease-free survival': ['Mean disease-free survival (DFS) was 36 months in group 1', '5-year disease-free survival rates were 48.98 % in group 1 and 34.62 % in group 2 (P = 0.04)'], '1-, 3-, and 5-year survival rates': ['The group-specific 5-year overall survival (OS) rates were 56.12 % in group 1 and 40.38 % in group 2 (P = 0.03)', 'In groups 1 and 2, 5-year OS rates of stage IV patients were, respectively, 16.7 % (3/18) and 12.5 % (2/16) (P = 0.09)'], 'Extensive peritoneal metastasis and other organ metastasis rates': ['No significant difference']}"
26590903,"['Recruitment and retention rates at six weeks and six months', 'Nutritional intake', 'Nutritional parameters', 'Quality of life', 'Healthcare costs', 'Weight loss difference between intervention and control groups', 'Mid arm circumference', 'mid arm muscle circumference', 'triceps skin fold thickness', 'right hand grip strength', 'EQ-5D data']","['Life impact', 'Life impact', 'Clinical', 'Life impact', 'Resource use', 'Clinical', 'Life impact', 'Life impact', 'Clinical', 'Life impact', 'Life impact']","{'Recruitment and retention rates at six weeks and six months': [], 'Weight loss difference between intervention and control groups': ['−3.9 kg (95% CI 1.6 to 6.2) at six weeks', '2.5 kg (95% CI −0.5 to 5.6) at three months', '2.5 kg (95% CI −1.2 to 6.1) at six months'], 'Mid arm circumference': ['greater in intervention group'], 'mid arm muscle circumference': ['greater in intervention group'], 'triceps skin fold thickness': ['greater in intervention group'], 'right hand grip strength': ['greater in intervention group'], 'Quality of life': ['mean EQ-5D score slightly lower in intervention group', 'algorithm by McKenzie and van der Pol, using the OLS model, did not accurately predict the EQ-5D values.', 'difficulty in completing the quality of life questionnaire and the dilemma of feeling ‘well’ but knowing that you have cancer.'], 'EQ-5D data': ['measured using EQ-5D-3 L', 'algorithm by McKenzie and van der Pol, using the OLS model, did not accurately predict the EQ-5D values.'], 'Healthcare costs': ['Complete data on resource use were available for 45 participants at baseline (24 control, 21 intervention), 41 participants at six weeks after discharge from hospital (21 control, 20 intervention) and 36 participants at six months after surgery (21 control, 15 intervention), suggesting that data collection using cost questionnaires was feasible.', '£3450 (intervention), £3519 (control)']}"
26590813,"['breast cancer risk', 'distant recurrence risk', 'bone adverse events (AEs)']","['Clinical', 'Clinical', 'Adverse Event']","{'breast cancer risk': ['no statistically significant differential treatment effects'], 'distant recurrence risk': ['HR=0.79, 95% CI=0.63–1.0', 'HR=0.69, 95%CI=0.53–0.90', 'no statistically significant differential treatment effects'], 'bone adverse events (AEs)': ['25% reduced risk for patients treated with letrozole having the rare allele (C), either homozygous or heterozygous (HR=0.75, 95% CI=0.58–0.98)', '37% increased risk for patients treated with letrozole having the rare allele of A, either homozygous or heterozygous (HR=1.37, 95% CI=1.01–1.84)']}"
26589718,"['completeness of adjuvant chemotherapy', 'quality of life', 'stoma-related complications', 'individual completeness of chemotherapy rate', 'patients stopping adjuvant therapy', 'dose modifications', 'delay', 'oncological outcomes', 'cumulative days of hospitalisation and number of readmissions', 'rate of symptomatic anastomotic leaks after stoma closure', 'mortality', 'post-operative complications and toxicity of adjuvant chemotherapy']","['Clinical', 'Life impact', 'Adverse Event', 'Clinical', 'Adverse Event', 'Adverse Event', 'Adverse Event', 'Clinical', 'Resource use', 'Adverse Event', 'Mortality', 'Adverse Event']",{}
26588217,"['Volatile anesthetic consumption', 'Propofol consumption', 'Opioid consumption', 'Postoperative pain intensity (measured by visual analog scale score)']","['Resource use', 'Resource use', 'Adverse Event', 'Clinical']","{'Volatile anesthetic consumption': ['sevoflurane', 'lower'], 'Propofol consumption': ['higher'], 'Opioid consumption': ['fentanyl', 'lower'], 'Postoperative pain intensity (measured by visual analog scale score)': ['lower']}"
26586494,"['Attentional Function Index (AFI) total score', 'Stroop test accuracy rates', 'Improvements in mindfulness']","['Life impact', 'Clinical', 'Life impact']","{'Improvements in mindfulness': ['MBSR participants reported more minutes per week on average completing meditation practice assignments at home [117.6 (SD=85.9)] compared to ES participants’ time completing reading assignments or using self-care strategies discussed in class [92.5 (SD=92.1); t(69)=1.19, p=0.24].', 'At the 6-month follow-up, 75.8 % of MBSR participants reported continued formal mindfulness practice; however, the majority of these (63.6 %) reported formal practice only once or twice per week.', 'Most MBSR participants (84.8 %) reported continued informal mindfulness practice at the 6-month follow-up.'], 'Attentional Function Index (AFI) total score': ['significantly and substantially higher in the MBSR group than in the ES group at T2; p≤0.004, remained stable with significant differences at T3 (p<0.027), mean scores rose to approximately 65 indicating moderate cognitive functioning', 'significant improvements at T2', 'mean scores remaining stable from T2 to T3', 'indirect effect=1.9544; 95 % confidence interval [0.1997, 4.8845]'], 'Stroop test accuracy rates': ['p>0.64', 'fewer errors on incongruent trials relative to congruent trials at T2 and T3', 'MBSR participants had a lower error rate at T3 (MT3=−0.01, SDT3=0.03) relative to T1 (MT1=−0.10, SDT1=0.25; z=−2.12, n=29, p=0.034, r=0.39)', 'all p>0.90']}"
26581899,"['Cardiorespiratory fitness (CRF)', 'Physical activity (PA)', 'Sedentary behavior (SB)']","['Clinical', 'Life impact', 'Life impact']","{'Cardiorespiratory fitness (CRF)': ['31.7 ml/kg/min', '-13.4 ml/kg/min', 'z score ≤−2', 'approximately 12 ml/kg/min below the predicted value', 'β −0.06; 95 % CI: −0.1; (−0.0); p < 0.001', '−0.8; 95 % CI: −1.0; (−0.5); p < 0.001', '-0.5 for fat mass', '3.9 for being during/after treatment', '0.2 for fatigue', '0.1 for beliefs of athletic competence', 'p < 0.001 for fat mass', 'p = 0.035 for being during/after treatment', 'p < 0.001 for fatigue', 'p = 0.034 for beliefs of athletic competence', '64.8% variance explained by these four factors', 'SEE = 5.7'], 'Physical activity (PA)': ['median PA level was 127 cpm (IQR 80–219)', 'children spent 16% of their daytime on light activities', 'children were 7% (SD 4.4) moderately active', 'children spent only 0.1% (SD 0.2) of the day on a vigorous activity level', 'β 0.05; 95 % CI: 0.0; 0.1; p < 0.001', 'p < 0.001', 'percentage of fat mass (-5.4, 95% CI: -9.0 to -1.7, p = 0.005)', 'being during (0)/after (1) cancer treatment (63.9, 95% CI: 3.4 to 124.3, p = 0.039)', 'fatigue (2.6, 95% CI: 1.5 to 3.7, p < 0.001)', 'depressive symptoms (-6.2, 95% CI: -11.9 to -0.5, p = 0.034)', 'age (β −11.9; 95% CI: −19.8; (−4.0); p = 0.004), being during (0)/after (1) cancer treatment (β 68.0; 95 % CI:18.1;118.0; p = 0.008), and fatigue (β 1.8; 95% CI: 0.7; 2.9; p = 0.002); these factors explained 41.8 % of the variance in PA; SEE = 85.0 (model p < 0.001)'], 'Sedentary behavior (SB)': ['80 % of all waking hours', 'median of 869 min (IQR 785–911) of the 1080 min which were analyzed per day', 'prolonged sitting periods without interruptions (≥20 or 30 min) were common', 'age (β 14.6; 95 % CI: 7.8; 21.5; p < 0.001)', 'percentage of fat mass (β 4.9; 95 % CI: 1.8; 7.9; p = 0.002)', 'lean body mass (β 0.0; 95% CI: 0.0; 0.0; p = 0.016)', 'fatigue (β −2.1; 95% CI:−3.1;(−1.1); p < 0.001)', 'depressive symptoms (β 5.8; 95 % CI: 0.9; 10.7; p = 0.021)', '43.0% of variance explained', 'SEE = 71.0', 'model p < 0.001']}"
26580449,"['misperception of breast cancer risk', 'realistic optimism', 'unrealistic pessimism']","['Life impact', 'None', 'Life impact']","{'misperception of breast cancer risk': ['UP: 44 women (10.5%)', 'UO: 167 women (39.7%)', 'KAW living with a partner were more likely to have UO than those living alone (χ2 = 6.868, p = 0.032)', 'Those who completed at least some college education were more likely than those with high school or less education to have UO (χ2 = 16.983, p = 0.001)', 'Social support was also significantly associated with misperceptions: Those with high social support were less likely to have UP than those with low social support (χ2 = 10.321, p = 0.006)', 'KAW with higher worry were more likely to have UP than those with lower worry scores (χ2 = 6.379, p = 0.041)', 'UP: OR = 0.34, 95% CI = 0.16–0.73', 'UO: OR = 2.19, 95% CI = 1.11–4.32'], 'unrealistic pessimism': ['UP: OR = 2.71, 95% CI = 1.16–6.33']}"
